# Force coefficients
# liftDir      : (6.9756503e-02 0.0000000e+00 9.9756405e-01)
# dragDir      : (9.9756405e-01 0.0000000e+00 -6.9756503e-02)
# pitchAxis    : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 2.5000000e+01
# lRef         : 6.4150000e-01
# Aref         : 2.6040000e+00
# CofR         : (1.0700000e+00 0.0000000e+00 0.0000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
198            	1.9152714e-02	8.4117262e-02	-2.7116168e-01	-1.1642813e-01	-1.5473356e-01
199            	1.9816183e-02	8.4296712e-02	-2.7444260e-01	-1.1740512e-01	-1.5703748e-01
200            	2.0856122e-02	8.4560605e-02	-2.7887666e-01	-1.1858221e-01	-1.6029445e-01
201            	2.2315989e-02	8.4911275e-02	-2.8454691e-01	-1.1995747e-01	-1.6458944e-01
202            	2.4207321e-02	8.5348305e-02	-2.9145634e-01	-1.2152085e-01	-1.6993549e-01
203            	2.6317711e-02	8.5820179e-02	-2.9898676e-01	-1.2317567e-01	-1.7581109e-01
204            	2.8766002e-02	8.6360006e-02	-3.0753718e-01	-1.2500259e-01	-1.8253459e-01
205            	3.1262508e-02	8.6902441e-02	-3.1632982e-01	-1.2690240e-01	-1.8942742e-01
206            	3.3505215e-02	8.7396897e-02	-3.2454367e-01	-1.2876662e-01	-1.9577705e-01
207            	3.5619706e-02	8.7865431e-02	-3.3265268e-01	-1.3070663e-01	-2.0194605e-01
208            	3.7352921e-02	8.8270523e-02	-3.3991126e-01	-1.3260271e-01	-2.0730855e-01
209            	3.8849181e-02	8.8635718e-02	-3.4684723e-01	-1.3457444e-01	-2.1227280e-01
210            	3.9938494e-02	8.8932984e-02	-3.5282138e-01	-1.3647220e-01	-2.1634919e-01
211            	4.0753705e-02	8.9183675e-02	-3.5834683e-01	-1.3841971e-01	-2.1992712e-01
212            	4.1273035e-02	8.9395830e-02	-3.6333800e-01	-1.4039596e-01	-2.2294203e-01
213            	4.1502825e-02	8.9556154e-02	-3.6773167e-01	-1.4236301e-01	-2.2536866e-01
214            	4.1440585e-02	8.9683917e-02	-3.7173976e-01	-1.4442929e-01	-2.2731046e-01
215            	4.1045283e-02	8.9760603e-02	-3.7512300e-01	-1.4651622e-01	-2.2860678e-01
216            	4.0294102e-02	8.9774887e-02	-3.7764132e-01	-1.4852656e-01	-2.2911476e-01
217            	3.9098206e-02	8.9711493e-02	-3.7909109e-01	-1.5044734e-01	-2.2864375e-01
218            	3.7451503e-02	8.9553883e-02	-3.7912087e-01	-1.5210893e-01	-2.2701194e-01
219            	3.5489969e-02	8.9300746e-02	-3.7761797e-01	-1.5331902e-01	-2.2429895e-01
220            	3.3076455e-02	8.8926282e-02	-3.7419599e-01	-1.5402154e-01	-2.2017445e-01
221            	3.0450758e-02	8.8453346e-02	-3.6907778e-01	-1.5408813e-01	-2.1498965e-01
222            	2.7888998e-02	8.7922205e-02	-3.6281969e-01	-1.5352085e-01	-2.0929884e-01
223            	2.5826474e-02	8.7424255e-02	-3.5673775e-01	-1.5254240e-01	-2.0419535e-01
224            	2.4462139e-02	8.7024489e-02	-3.5184986e-01	-1.5146279e-01	-2.0038707e-01
225            	2.3643311e-02	8.6714169e-02	-3.4806866e-01	-1.5039102e-01	-1.9767764e-01
226            	2.3273667e-02	8.6491348e-02	-3.4544234e-01	-1.4944751e-01	-1.9599484e-01
227            	2.3196017e-02	8.6319498e-02	-3.4341740e-01	-1.4851269e-01	-1.9490472e-01
228            	2.3368699e-02	8.6195999e-02	-3.4198636e-01	-1.4762448e-01	-1.9436188e-01
229            	2.3805119e-02	8.6100749e-02	-3.4081169e-01	-1.4660072e-01	-1.9421096e-01
230            	2.4479910e-02	8.6043824e-02	-3.4011218e-01	-1.4557618e-01	-1.9453600e-01
231            	2.5434453e-02	8.6024074e-02	-3.3983782e-01	-1.4448446e-01	-1.9535336e-01
232            	2.6574477e-02	8.6043312e-02	-3.4007130e-01	-1.4346117e-01	-1.9661012e-01
233            	2.7947246e-02	8.6103252e-02	-3.4081407e-01	-1.4245979e-01	-1.9835428e-01
234            	2.9508775e-02	8.6201649e-02	-3.4209430e-01	-1.4153837e-01	-2.0055592e-01
235            	3.1093940e-02	8.6329256e-02	-3.4380416e-01	-1.4080814e-01	-2.0299602e-01
236            	3.2741540e-02	8.6489003e-02	-3.4600180e-01	-1.4025936e-01	-2.0574244e-01
237            	3.4287307e-02	8.6665433e-02	-3.4848855e-01	-1.3995697e-01	-2.0853158e-01
238            	3.5685124e-02	8.6848718e-02	-3.5117417e-01	-1.3990196e-01	-2.1127221e-01
239            	3.6826360e-02	8.7021237e-02	-3.5378721e-01	-1.4006725e-01	-2.1371997e-01
240            	3.7661823e-02	8.7165462e-02	-3.5605992e-01	-1.4036813e-01	-2.1569178e-01
241            	3.8287091e-02	8.7291496e-02	-3.5811601e-01	-1.4077092e-01	-2.1734510e-01
242            	3.8766653e-02	8.7406050e-02	-3.6009363e-01	-1.4128016e-01	-2.1881347e-01
243            	3.9100561e-02	8.7507578e-02	-3.6193795e-01	-1.4186841e-01	-2.2006954e-01
244            	3.9296961e-02	8.7593345e-02	-3.6359975e-01	-1.4250291e-01	-2.2109684e-01
245            	3.9356855e-02	8.7667023e-02	-3.6514962e-01	-1.4321796e-01	-2.2193167e-01
246            	3.9271381e-02	8.7719921e-02	-3.6648701e-01	-1.4397212e-01	-2.2251488e-01
247            	3.9033660e-02	8.7747914e-02	-3.6750258e-01	-1.4471763e-01	-2.2278495e-01
248            	3.8685658e-02	8.7746558e-02	-3.6806928e-01	-1.4534898e-01	-2.2272030e-01
249            	3.8174222e-02	8.7711354e-02	-3.6816107e-01	-1.4590631e-01	-2.2225476e-01
250            	3.7521598e-02	8.7633979e-02	-3.6765208e-01	-1.4630444e-01	-2.2134764e-01
